OBA_ID	Sample_ID	Station	Depth	Size fraction	Latitude	Longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
499	TARA_N000001878	TARA_112	SRF	[20-180µm]	-23.2166	-129.623	TARA_112_SRF_20-180	TARA_112	ERS492494	ERR1726834|ERR1756112|ERR1756147	SAMEA2731613	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001878	2011-06-15T20:34	-3615	24.36001	36.45545	24.63647	140.0982	0.00468	5	23.339491	201.1453	0.950372	0.000157501	0.00623687	0.017828043	0.022861806	0.87312	119.018	23.165967941284	0.00011265107241343	0	0	22.327772	0.0018	0	7.793725	0.0075	0.14225	0.02525	0.7425	138	160	146	154	578	567	0.441733	0.155786	4080.856211	6.520954544	16501.9	0.733239582	0	0	0	0	0.0041	0	0.02285	0	-23.2166	-129.6234	0	autumn	late	-0.120564	0.040113	11.083333
500	TARA_N000001882	TARA_112	SRF	[180-2000µm]	-23.2545	-129.447	TARA_112_SRF_180-2000	TARA_112	ERS492437	ERR1756292|ERR1755890|ERR1726694	SAMEA2731973	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001882	2011-06-14T18:50	-3523	24.26287	36.43917	24.65312	653.4677	0	5	7.292033	201.6702	0.167491	0.000157501	0.00623687	0.017828043	0.022861806	0.87312	119.018	22.388981819153	0.00012050364966854	0	0	22.327772	0.0018	0	7.793725	0.0075	0.14225	0.02525	0.7425	134	163	142	141	1019	433	0.441733	0.155786	4080.856211	6.520954544	16501.9	0.733239582	0	0	0	0	0.0041	0	0.02285	0	-23.2545	-129.4465	0	autumn	late	-0.120564	0.040113	11.083333
501	TARA_N000001896	TARA_113	SRF	[0.8-5µm]	-23.1108	-134.933	TARA_113_SRF_0.8-5	TARA_113	ERS492516	ERR1755957|ERR868405	SAMEA2622605	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001896	2011-06-19T17:12	-34	23.791125	36.51495	24.851175	102.7922	0.0438	5	22.426681	202.996	0	0.000134219	0.005074472	0.019451891	0.037924197			78.248008728027	0.00080806075129658			11.796971			8.041607					53	53	52	14	53	49	0.429599	0.242017													-23.1108	-134.9327	0	autumn	late	-0.072296	0.030077	2.222222
502	TARA_N000001894	TARA_113	SRF	[>0.8µm]	-23.1108	-134.933	TARA_113_SRF_0.8->	TARA_113	ERS492514	ERR1879776	SAMEA2622603	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001894	2011-06-19T17:12	-34	23.791125	36.51495	24.851175	102.7922	0.0438	5	22.426681	202.996	0	0.000134219	0.005074472	0.019451891	0.037924197			78.248008728027	0.00080806075129658			11.796971			8.041607					53	53	52	14	53	49	0.429599	0.242017													-23.1108	-134.9327	0	autumn	late	-0.072296	0.030077	2.222222
503	TARA_N000001898	TARA_113	SRF	[5-20µm]	-23.1107	-134.933	TARA_113_SRF_5-20	TARA_113	ERS492524	ERR1879833	SAMEA2731480	SEQ-(500mL-or-15min)_N5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001898	2011-06-19T19:25	-34	23.791125	36.51495	24.851175	102.7922	0.0438	5	22.426681	202.996	0	0.000134219	0.005074472	0.019451891	0.037924197			78.248008728027	0.00080806075129658			11.796971			8.041607					53	53	52	14	53	49	0.429599	0.242017													-23.1107	-134.9329	0	autumn	late	-0.072296	0.030077	2.222222
504	TARA_N000001900	TARA_113	SRF	[20-180µm]	-23.1107	-134.933	TARA_113_SRF_20-180	TARA_113	ERS492528	ERR1756133|ERR1726615	SAMEA2731517	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001900	2011-06-19T20:00	-34	23.791125	36.51495	24.851175	102.7922	0.0438	5	22.426681	202.996	0	0.000134219	0.005074472	0.019451891	0.037924197			78.248008728027	0.00080806075129658			11.796971			8.041607					53	53	52	14	53	49	0.429599	0.242017													-23.1107	-134.9326	0	autumn	late	-0.072296	0.030077	2.222222
505	TARA_N000001902	TARA_113	SRF	[180-2000µm]	-23.1162	-134.933	TARA_113_SRF_180-2000	TARA_113	ERS492534	ERR1755894|ERR1726586	SAMEA2731573	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001902	2011-06-19T22:03	-34	23.791125	36.51495	24.851175	102.7922	0.0438	5	22.426681	202.996	0	0.000134219	0.005074472	0.019451891	0.037924197			78.248008728027	0.00080806075129658			11.796971			8.041607					53	53	52	14	53	49	0.429599	0.242017													-23.1162	-134.9329	0	autumn	late	-0.072296	0.030077	2.222222
506	TARA_N000001906	TARA_114	SRF	[>0.8µm]	-23.1595	-134.924	TARA_114_SRF_0.8->	TARA_114	ERS492548	ERR1879689|ERR1879896	SAMEA2622614	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001906	2011-06-26T22:44	-39	24.0531	36.4937	24.75735	1.8341	0.0294	5	12.818482	199.6775	0	0.000137987	0.004760205	0.01893775	0.033250247			76.008338928223	0.00073473923839629	0.0019	0.009		0.0074	0		0.00925	0.1815	0.01725	0.73825	17	16	16	7	11	4	0.429449	0.240542					0.0075	0.0016	0.009	0.0056	0.0161	0.0028	0.0545	0	-23.1595	-134.9236	0	autumn	late	-0.019231	0.032517	1.027778
507	TARA_N000001904	TARA_114	SRF	[20-180µm]	-23.1594	-134.924	TARA_114_SRF_20-180	TARA_114	ERS492538	ERR1756159|ERR1726605	SAMEA2731617	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001904	2011-06-26T17:55	-39	24.0531	36.4937	24.75735	1.8341	0.0294	5	12.818482	199.6775	0	0.000137987	0.004760205	0.01893775	0.033250247			76.008338928223	0.00073473923839629	0.0019	0.009		0.0074	0		0.00925	0.1815	0.01725	0.73825	17	16	16	7	11	4							0.0075	0.0016	0.009	0.0056	0.0161	0.0028	0.0545	0	-23.1594	-134.9238	0	autumn	late	-0.019231	0.032517	1.027778
508	TARA_N000001905	TARA_114	SRF	[180-2000µm]	-23.1594	-134.924	TARA_114_SRF_180-2000	TARA_114	ERS492539	ERR1879802|ERR1726685	SAMEA2731618	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001905	2011-06-26T18:37	-39	24.0531	36.4937	24.75735	1.8341	0.0294	5	12.818482	199.6775	0	0.000137987	0.004760205	0.01893775	0.033250247			76.008338928223	0.00073473923839629	0.0019	0.009		0.0074	0		0.00925	0.1815	0.01725	0.73825	17	16	16	7	11	4	0.429449	0.240542					0.0075	0.0016	0.009	0.0056	0.0161	0.0028	0.0545	0	-23.1594	-134.9245	0	autumn	late	-0.019231	0.032517	1.027778
509	TARA_N000000742	TARA_067	SRF	[5-20µm]	-32.12	17.6987	TARA_067_SRF_5-20	TARA_067	ERS490220	ERR562581|ERR1719296|ERR599295|ERR1719416	SAMEA2657014	SEQ-(500mL-or-15min)_N5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_N000000742	2010-09-07T10:16	-161	13.04322	34.870735	26.28407	56.5509	1.20489	5	0.054594	252.63145	1.264607	0.000415882	0.043375768	0.060270548	0.098994337	2.7018	5070.88	604.51934814453		0.0483	2.1997	17.005393	0.07385	0.2919	8.025701					13	13	22	13	64	61	0.782904	0.863959					0.1759	0.2836	2.1997	0.1434	0.31475	0.12545	0.0749	0.0099	-32.12	17.6987	0	winter	late	0.04459	0	1.111111
510	TARA_N000001912	TARA_115	SRF	[>0.8µm]	-23.2317	-134.961	TARA_115_SRF_0.8->	TARA_115	ERS492553	ERR1879874	SAMEA2622619	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001912	2011-06-28T17:50	-67	24.144408	36.497242	24.73255	1.0275	0.0416	5	16.412859	198.727833	0	0.000137988	0.005056197	0.018812507	0.032989649			57.876560211182	0.00051708816317841	0.002933	0.007867	11.471771	0.005233	0	8.052679	0.017375	0.187833	0.068667	0.719083	19	10	13	19	9	3	0.426915	0.239793					0.005633	0.001567	0.007867	0.009567	0.012467	0.002933	0.038267	0.0004	-23.2317	-134.9611	0	winter	early	-0.049639	0.030656	12.694444
511	TARA_N000001914	TARA_115	SRF	[20-180µm]	-23.2318	-134.928	TARA_115_SRF_20-180	TARA_115	ERS492560	ERR1756039|ERR1726592	SAMEA2731524	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001914	2011-06-28T19:08	-67	24.144408	36.497242	24.73255	1.0275	0.0416	5	14.543021	198.727833	0	0.000137988	0.005056197	0.018812507	0.032989649			37.016275405884	0.00036417884984985	0.002933	0.007867	11.471771	0.005233	0	8.052679	0.017375	0.187833	0.068667	0.719083	19	10	13	19	9	3	0.426915	0.239793					0.005633	0.001567	0.007867	0.009567	0.012467	0.002933	0.038267	0.0004	-23.2318	-134.9279	0	winter	early	-0.049639	0.030656	12.694444
512	TARA_N000001915	TARA_115	SRF	[180-2000µm]	-23.2319	-134.962	TARA_115_SRF_180-2000	TARA_115	ERS492561	ERR1756088|ERR1726620	SAMEA2731525	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001915	2011-06-28T20:29	-67	24.190062	36.499013	24.72015	1.0275	0.0477	5	16.422214	198.253	0	0.000137988	0.005056197	0.018812507	0.032989649			57.876560211182	0.00051708816317841	0.00345	0.0073	11.471771	0.00415	0	8.052679	0.0255	0.191	0.094375	0.7095	19	10	13	19	9	3	0.426915	0.239793					0.0047	0.00155	0.0073	0.01155	0.01065	0.003	0.03015	0.0006	-23.2319	-134.9617	0	winter	early	-0.049639	0.030656	12.694444
513	TARA_N000001908	TARA_116	SRF	[>0.8µm]	-23.2329	-134.961	TARA_116_SRF_0.8->	TARA_116	ERS492566	ERR1879704	SAMEA2622624	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001908	2011-06-30T05:05	-72	23.990306	36.483619	24.768125	2.4724	0.07335	5	16.993693	197.846625	0	0.00013827	0.005990494	0.018424622	0.031991227			57.876560211182	0.00051708816317841	0.00575	0.012875	11.786468	0.0046	0	8.042051	0.0295	0.20025	0.139	0.729625	18	17	14	8	15	3	0.426924	0.23975					0.006775	0.002925	0.012875	0.017725	0.01405	0.0098	0.030575	0.0007	-23.2329	-134.9606	0	winter	early	-0.053432	0.028259	26.527778
514	TARA_N000001910	TARA_116	SRF	[20-180µm]	-23.2229	-134.961	TARA_116_SRF_20-180	TARA_116	ERS492572	ERR1726857|ERR1756181	SAMEA2731626	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001910	2011-06-30T05:57	-72	23.990306	36.483619	24.768125	2.4724	0.07335	5	16.993693	197.846625	0	0.00013827	0.005990494	0.018424622	0.031991227			68.701885223389	0.00057654469856061	0.00575	0.012875	11.786468	0.0046	0	8.042051	0.0295	0.20025	0.139	0.729625	18	17	14	8	15	3	0.426924	0.23975					0.006775	0.002925	0.012875	0.017725	0.01405	0.0098	0.030575	0.0007	-23.2229	-134.9607	0	winter	early	-0.053432	0.028259	26.527778
515	TARA_N000001911	TARA_116	SRF	[180-2000µm]	-23.233	-134.961	TARA_116_SRF_180-2000	TARA_116	ERS492573	ERR1726664|ERR1756355|ERR1726931	SAMEA2731658	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001911	2011-06-30T06:31	-72	23.990306	36.483619	24.768125	2.4724	0.07335	5	16.993693	197.846625	0	0.00013827	0.005990494	0.018424622	0.031991227			57.876560211182	0.00051708816317841	0.00575	0.012875	11.786468	0.0046	0	8.042051	0.0295	0.20025	0.139	0.729625	18	17	14	8	15	3	0.426924	0.23975					0.006775	0.002925	0.012875	0.017725	0.01405	0.0098	0.030575	0.0007	-23.233	-134.9608	0	winter	early	-0.053432	0.028259	26.527778
516	TARA_N000001916	TARA_117	SRF	[>0.8µm]	-23.1571	-135.018	TARA_117_SRF_0.8->	TARA_117	ERS492582	ERR1879729	SAMEA2622628	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001916	2011-07-01T06:27	-5	23.94915	36.477125	24.77545	2.6131	0.0758	5	16.846535	197.716167	0	0.000140383	0.005991528	0.018510932	0.032410909			80.24991607666	0.00067000719718635	0.0061	0.0139	12.101164	0.0044	0	8.031423	0.0295	0.19875	0.155167	0.733333	26	20	18	17	25	13	0.425964	0.241832					0.006933	0.0034	0.0139	0.018433	0.0142	0.011667	0.0285	0.000533	-23.1571	-135.018	0	winter	early	-0.044127	0.024646	46.888889
517	TARA_N000001918	TARA_117	SRF	[20-180µm]	-23.1571	-135.031	TARA_117_SRF_20-180	TARA_117	ERS492584	ERR1726785|ERR1756067	SAMEA2731720	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001918	2011-07-01T07:44	-5	23.94915	36.477125	24.77545	2.6131	0.0758	5	16.846535	197.716167	0	0.000140383	0.005991528	0.018510932	0.032410909			77.753681182861	0.00061199814081192	0.0061	0.0139	12.101164	0.0044	0	8.031423	0.0295	0.19875	0.155167	0.733333	26	20	18	17	25	13	0.425964	0.241832					0.006933	0.0034	0.0139	0.018433	0.0142	0.011667	0.0285	0.000533	-23.1571	-135.031	0	winter	early	-0.044127	0.024646	46.888889
518	TARA_N000001919	TARA_117	SRF	[180-2000µm]	-23.1571	-135.018	TARA_117_SRF_180-2000	TARA_117	ERS492585	ERR1726600|ERR1756217	SAMEA2731721	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001919	2011-07-01T08:46	-5	23.94915	36.477125	24.77545	2.6131	0.0758	5	16.846535	197.716167	0	0.000140383	0.005991528	0.018510932	0.032410909			80.24991607666	0.00067000719718635	0.0061	0.0139	12.101164	0.0044	0	8.031423	0.0295	0.19875	0.155167	0.733333	26	20	18	17	25	13	0.425964	0.241832					0.006933	0.0034	0.0139	0.018433	0.0142	0.011667	0.0285	0.000533	-23.1571	-135.0182	0	winter	early	-0.044127	0.024646	46.888889
519	TARA_N000001920	TARA_118	SRF	[>0.8µm]	-23.1571	-135.018	TARA_118_SRF_0.8->	TARA_118	ERS492590	ERR1879764	SAMEA2622632	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001920	2011-07-01T21:08	-6	23.94915	36.477125	24.77545	1.9481	0.0758	5	16.846535	197.716167	0	0.000140383	0.005991528	0.018510932	0.032410909			80.24991607666	0.00067000719718635	0.0061	0.0139	12.101164	0.0044	0	8.031423	0.0295	0.19875	0.155167	0.733333	23	21	15	23	22	12	0.425951	0.241802					0.006933	0.0034	0.0139	0.018433	0.0142	0.011667	0.0285	0.000533	-23.1571	-135.018	0	winter	early	-0.04406	0.023596	46.777778
520	TARA_N000000759	TARA_067	SRF	[>0.8µm]	-32.2401	17.7103	TARA_067_SRF_0.8->	TARA_067	ERS490198	ERR562641|ERR1719253|ERR1719287|ERR599238	SAMEA2620985	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_N000000759	2010-09-07T06:19	-160	13.04322	34.870735	26.28407	81.2122	1.20489	5	0.068852	252.63145	1.264607	0.000415882	0.043375768	0.060270548	0.098994337	2.7018	5070.88	673.50326538086		0.0483	2.1997	17.005393	0.07385	0.2919	8.025701					25	14	35	14	89	32	0.782904	0.863959					0.1759	0.2836	2.1997	0.1434	0.31475	0.12545	0.0749	0.0099	-32.2401	17.7103	0	winter	late	0.04459	0	1.111111
521	TARA_N000001922	TARA_118	SRF	[20-180µm]	-23.1571	-135.018	TARA_118_SRF_20-180	TARA_118	ERS492597	ERR1726544|ERR1756248|ERR1756358	SAMEA2731531	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001922	2011-07-01T22:03	-6	23.94915	36.477125	24.77545	1.9481	0.0758	5	16.846535	197.716167	0	0.000140383	0.005991528	0.018510932	0.032410909			80.24991607666	0.00067000719718635	0.0061	0.0139	12.101164	0.0044	0	8.031423	0.0295	0.19875	0.155167	0.733333	23	21	15	23	22	12	0.425951	0.241802					0.006933	0.0034	0.0139	0.018433	0.0142	0.011667	0.0285	0.000533	-23.1571	-135.0182	0	winter	early	-0.04406	0.023596	46.777778
522	TARA_N000001923	TARA_118	SRF	[180-2000µm]	-23.1571	-135.018	TARA_118_SRF_180-2000	TARA_118	ERS492598	ERR1726741|ERR1756046	SAMEA2731578	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001923	2011-07-01T22:48	-6	23.94915	36.477125	24.77545	1.9481	0.0758	5	16.846535	197.716167	0	0.000140383	0.005991528	0.018510932	0.032410909			80.24991607666	0.00067000719718635	0.0061	0.0139	12.101164	0.0044	0	8.031423	0.0295	0.19875	0.155167	0.733333	23	21	15	23	22	12	0.425951	0.241802					0.006933	0.0034	0.0139	0.018433	0.0142	0.011667	0.0285	0.000533	-23.1571	-135.0181	0	winter	early	-0.04406	0.023596	46.777778
523	TARA_N000001924	TARA_119	SRF	[>0.8µm]	-23.0244	-134.923	TARA_119_SRF_0.8->	TARA_119	ERS492603	ERR1879823|ERR1879898	SAMEA2622637	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001924	2011-07-06T05:40	-277	23.6621	36.517275	24.891237	1.9829	0.0147	5		206.474875	0	0.000140491	0.005694044	0.020010776	0.034799265			27.82110786438	0.00017839889187599	0.00175	0.00665		0.004	0		0.0235	0.176125	0.121875	0.69175	13	13	12	9	5	3							0.0044	0.00055	0.00665	0.00495	0.0149	0.0004	0.0214	0.00035	-23.0244	-134.9228	0	winter	early	-0.016902	0.058274	9.555556
524	TARA_N000001926	TARA_119	SRF	[20-180µm]	-23.0244	-134.923	TARA_119_SRF_20-180	TARA_119	ERS492609	ERR1755939	SAMEA2731664	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001926	2011-07-06T06:36	-277	23.6621	36.517275	24.891237	1.9829	0.0147	5		206.474875	0	0.000140491	0.005694044	0.020010776	0.034799265			27.82110786438	0.00017839889187599	0.00175	0.00665		0.004	0		0.0235	0.176125	0.121875	0.69175	13	13	12	9	5	3	0.430842	0.243968					0.0044	0.00055	0.00665	0.00495	0.0149	0.0004	0.0214	0.00035	-23.0244	-134.9228	0	winter	early	-0.016902	0.058274	9.555556
525	TARA_N000001927	TARA_119	SRF	[180-2000µm]	-23.0246	-134.923	TARA_119_SRF_180-2000	TARA_119	ERS492610	ERR1755945|ERR1756208	SAMEA2731665	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001927	2011-07-06T07:17	-277	23.6621	36.517275	24.891237	1.9829	0.0147	5		206.474875	0	0.000140491	0.005694044	0.020010776	0.034799265			27.82110786438	0.00017839889187599	0.00175	0.00665		0.004	0		0.0235	0.176125	0.121875	0.69175	13	13	12	9	5	3	0.430842	0.243968					0.0044	0.00055	0.00665	0.00495	0.0149	0.0004	0.0214	0.00035	-23.0246	-134.9231	0	winter	early	-0.016902	0.058274	9.555556
526	TARA_N000001765	TARA_110	DCM	[180-2000µm]	-1.8155	-84.629	TARA_110_DCM_180-2000	TARA_110	ERS492314	ERR1759703|ERR1759719	SAMEA2731693	SEQ-(500mL-or-15min)_N180-2000	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	180	2000	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001765	2011-05-22T20:50	-2133	22.267145	35.032215	24.18398	407.4223	0.23274	50	0.226499	154.55155	7.974295	5.493E-6	0.042527045	0.645360056	6.029548923		642.094	69.897674560547	0.00024464976741001	0.005	0.0291		0.0316	0		0.414	0.9295	10.701	5.407	27	40	92	13	356	100	0.54627	0.713291	4206.588394	6.796421877	16528.4	0.740312164	0.0343	0.0099	0.0291	0	0.0751	0	0.0355	0.0012	-1.8155	-84.629	0	autumn	late	0.032297	0.064745	0
527	TARA_N000001928	TARA_120	SRF	[>0.8µm]	-23.0242	-134.923	TARA_120_SRF_0.8->	TARA_120	ERS492621	ERR1879771|ERR1879714	SAMEA2622641	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001928	2011-07-06T18:44	-269	23.6621	36.517275	24.891237	8.6701	0.0147	5		206.474875	0	0.000140491	0.005694044	0.020010776	0.034799265			27.82110786438	0.00017839889187599	0.00175	0.00665		0.004	0		0.0235	0.176125	0.121875	0.69175	13	9	12	13	6	3	0.430827	0.243984					0.0044	0.00055	0.00665	0.00495	0.0149	0.0004	0.0214	0.00035	-23.0242	-134.9232	0	winter	early	-0.016969	0.058259	9.555556
528	TARA_N000001930	TARA_120	SRF	[20-180µm]	-23.0246	-134.923	TARA_120_SRF_20-180	TARA_120	ERS492617	ERR1756256	SAMEA2731702	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_N000001930	2011-07-06T17:53	-269	23.6621	36.517275	24.891237	8.6701	0.0147	5		206.474875	0	0.000140491	0.005694044	0.020010776	0.034799265			27.82110786438	0.00017839889187599	0.00175	0.00665		0.004	0		0.0235	0.176125	0.121875	0.69175	13	9	12	13	6	3	0.430827	0.243984					0.0044	0.00055	0.00665	0.00495	0.0149	0.0004	0.0214	0.00035	-23.0246	-134.9235	0	winter	early	-0.016969	0.058259	9.555556
